UniqueCount	AmbigCount
39	62
5	213
193	219
1	0
0	9
0	1108
0	1109
0	1114
17	135
0	1010
0	717
8	46
3	3
4	641
0	613
0	642
0	192
1	69
0	5
0	43
0	25
5	100
2	7
1	43
6	2
0	2
9	0
408	1476
21	1202
4	448
4	420
0	439
0	411
2	362
0	12
0	108
0	2649
0	2828
2	534
0	113
0	2682
0	2730
12	2809
0	2657
0	2511
97	2986
0	2875
15	2195
0	2649
0	0
0	21
2	221
0	106
0	89
0	0
0	113
2	0
0	97
1	93
1	34
0	5
1	5
0	37
0	0
220	330
0	131
1	225
0	133
0	126
0	96
0	92
3	33
0	0
15	69
0	62
1	64
0	56
0	56
0	33
0	26
0	0
0	12
0	0
0	76
0	118
19	165
5	47
3	66
0	139
0	9
0	12
2	9
3	25
1	46
0	74
7	23
0	22
0	154
0	1
0	94
0	0
0	2
4	3
0	64
0	10
2	0
0	2
0	155
0	4
0	0
0	9
0	5
0	20
121	0
0	31
147	31
7	6
2	0
0	6
450	4232
7	4232
1	24
3	7
1	0
0	0
2	0
1	10
47	128
51	101
55	107
4	121
1	1
2	0
49	0
19	488
43	472
0	101
0	988
1759	7831
115	16648
3730	16731
0	10350
0	16105
1	18733
0	0
0	11055
106	3374
68	4515
4	10531
0	15481
6	15695
1	15563
0	15562
3	10948
0	7817
14	0
12	0
1	1098
32	1095
0	611
0	9
0	9
0	9
0	9
0	1
6	9
0	1
0	1
0	1
0	1
72	485
31	100
12	436
16	43
0	47
34	32
0	19
0	122
0	9
0	5820
0	6136
0	6338
0	6333
44	5211
10	5907
2	5700
0	5001
0	5150
4	4739
44	4513
7	427
6	0
0	304
0	390
0	329
1	30
0	25
0	25
0	24
0	12
3	19
0	23
0	0
0	1
0	2
226	1220
19	430
30	1017
5	31
0	54
0	305
0	63
0	51
0	382
5	9
0	9
13	0
12	105
3	381
283	2194
0	230
0	2193
0	1762
0	0
0	108
0	41
0	15
0	5
1	6
5	109
0	5
0	1
0	0
0	10
1	0
0	11
10	0
0	0
197	1128
17	259
30	731
19	633
0	9
0	318
7	76
6	105
5	17
0	55
18	608
253	788
62	782
0	0
18	269
10	3
0	3
4	1052
39	1052
0	110
9	4
0	20
4	27
7	139
110	152
0	0
27	16
0	16
1	15
0	9
3	3
1	5
2	2
1	0
0	0
1	19
1	19
0	0
88	8
1	2
1	0
1	6
2	2
131	2283
11	392
198	2503
219	2104
0	631
0	524
0	122
12	1841
7	45
9	468
84	1445
0	6
487	249
0	5
0	5
0	48
0	35
9	216
0	21
0	10
0	8
9076	0
29	0
11	0
39	2875
16	169
141	801
112	1046
327	1791
287	2097
0	0
16	915
2	890
11	498
3	18
0	3
0	3
0	2
8	120
0	23
1	101
0	0
0	48
0	51
0	44
4	25
0	21
0	1
0	4
0	6
0	1
0	5
0	5
0	2
0	2
0	1
0	3
1	2
0	2
0	0
0	0
0	0
0	0
0	0
0	498
0	453
1	331
7	414
0	476
0	485
5	489
1	330
5	386
0	126
18	39
0	35
0	76
58	0
54	3066
440	3066
7	0
1	27
0	5
0	7
0	164
0	4
7	155
1	5
5	210
0	2
40	0
0	21
0	18
0	23
0	5
0	19
0	4
0	0
0	2
0	0
0	9
0	2
0	1
0	0
6	6
0	6
0	1241
25	1241
0	0
20	950
0	0
4	61
11	231
18	224
0	75
0	3426
9	5148
6	1447
0	2642
177	3478
1	3505
28	2737
0	1260
14	1718
3	985
0	568
8	274
0	469
0	24
11	44
0	205
1	61
27	390
1	187
22	0
16	0
17	0
4	3
0	0
0	3
0	3
6	3
0	0
6	0
0	65
0	32
0	30
0	20
0	30
0	32
0	1
1	0
0	30
0	67
1	0
0	0
22	0
68	108
30	134
3	29
0	0
0	423
0	411
0	469
0	478
0	477
0	461
0	465
0	460
0	476
0	460
0	426
0	463
0	466
0	398
1	394
0	410
0	434
0	458
0	475
0	467
0	459
0	443
0	434
12	332
0	319
0	346
0	396
0	394
0	269
0	324
0	330
0	364
0	343
0	366
0	204
0	184
0	166
0	172
0	127
0	17
1	136
0	30
0	47
0	57
0	63
0	3
0	99
0	33
0	64
0	4
0	30
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	4
0	4
0	3
0	4
0	4
0	4
0	4
0	0
0	0
0	4
0	4
0	4
10	4
0	4
0	4
0	2
0	0
0	1
0	0
1	0
0	0
0	0
3	0
0	10362
1	9772
0	9059
6	9961
0	5454
2	8252
0	8300
0	9555
0	9430
0	8995
0	8581
0	8578
0	9580
0	9570
0	8721
1	1344
0	6551
0	8398
35	9803
0	8640
0	10359
0	8846
0	8
0	9722
0	1127
1	9466
0	9426
3	9
0	1438
1	9882
0	10031
0	2697
0	7513
0	407
0	1600
0	850
2	5484
13	5484
0	1583
13	8249
0	16
0	17
0	9
0	10
0	17
0	11
0	13
0	10
0	11
0	0
